method,expected_first_moment_error,first_moment_CI_size,expected_second_moment_error,second_moment_CI_size,expected_sd_error,sd_CI_size,expected_signal_retrieval_error,signal_retrieval_CI_size,alpha,Nparts,time_step
PD_Gillespie,0.0114117159179229,0.00122740340202371,0.00787841281598072,0.000867179348960397,0.0108892666018988,0.000388754741839422,0.0469130626529959,0.004848042846642,1.1,1000,0.01
PD_integrated,0.00526419003186635,0.000530709521884076,0.00353655621312113,0.000396266169642525,0.00261802007640091,0.000118480805195055,0.0469002082004085,0.00395779063243171,1.1,1000,0.01
BD_Moran_Gillespie,0.0113681304848344,0.00120072871243032,0.00787450345812723,0.000865625174955444,0.0108573020412583,0.000410489550617665,0.0471284630335055,0.00485672371214595,1.1,1000,0.01
BD_WF_Gillespie,0.0173398001950466,0.00193046926526346,0.01213691208672,0.00145164421933976,0.0136916119440164,0.000518772061174131,0.0495295730707473,0.00573294068418098,1.1,1000,0.01
BD_WF_diffusion,0.0103198585062729,0.00100380661690873,0.00727160968796199,0.000760361934355083,0.00965485711012981,0.000389125199363133,0.0466979591791578,0.00485464098608672,1.1,1000,0.01
PF,0.0105005028790153,0.000999179859330545,0.0073145407309684,0.000706977142967051,0.00924302322383739,0.000426347967137781,0.0468214024005081,0.00468269035796135,1.1,1000,0.01
Pruning (PD),0.00521623356902713,0.000529143592115005,0.00355553763743534,0.000381080367107778,0.00216641841607393,0.000297065784548364,0.0474903899030019,0.00396052099670044,1.1,1000,0.01
Exact,0,0,0,0,0,0,0.0476912751566833,0.00397358866999467,1.1,1000,0.01
PD_Gillespie,0.000444593670081212,3.89773637019119E-05,0.000327171366324991,2.93318188178246E-05,9.84610148949372E-05,7.62470503324711E-06,0.0611834840719209,0.0047621862731929,1.1,1000,0.5
PD_integrated,0.000433762770665404,4.27283093246535E-05,0.000325528664599201,3.39564862571355E-05,0.000100320389983285,6.58896841190946E-06,0.0611854602159321,0.00475269875258849,1.1,1000,0.5
BD_Moran_Gillespie,0.00299433280529989,0.000258088607584292,0.00213316407270015,0.000199987676129866,0.00154365092831182,0.000128746793941908,0.0614552519838686,0.0046847088804144,1.1,1000,0.5
BD_WF_Gillespie,0.00307918657811974,0.000240626365030921,0.00218652023810119,0.000201698148907081,0.00155949850617075,0.000135049078382746,0.0611533354153633,0.00474434275517459,1.1,1000,0.5
BD_WF_diffusion,0.00358979297802345,0.000268338191690496,0.00250116554467215,0.000224756741503977,0.00159926889501094,0.000116515382120797,0.060935382561539,0.00479035183896065,1.1,1000,0.5
PF,0.00411627998121478,0.000364726042945767,0.00298953918882796,0.000297384406942745,0.00220937572413339,0.000154212771152429,0.0610292588249961,0.0048107373120037,1.1,1000,0.5
Pruning (PD),0.000534684152958103,5.67518920773959E-05,0.000394772928665004,4.23428852509677E-05,9.22746038410435E-05,8.82067502811649E-06,0.0612393093725713,0.00475949061319724,1.1,1000,0.5
Exact,0,0,0,0,0,0,0.0611902333087422,0.004773697450351,1.1,1000,0.5
PD_Gillespie,0.0117767564917606,0.0011904200536195,0.00819335214823327,0.000862542226777746,0.0112728959714633,0.000357136943964959,0.0477933116573436,0.0047314496741884,1.1,50,0.01
PD_integrated,0.00619627609718169,0.000568243513265017,0.00418512871608767,0.000391725552407698,0.00287671075120189,0.000224479347681034,0.0470624989493686,0.00440707390736564,1.1,50,0.01
BD_Moran_Gillespie,0.0135567696725586,0.00152941705087569,0.00947644175333334,0.00105319294920994,0.0114718887452124,0.000721599055996566,0.0485714761653693,0.00467342814372647,1.1,50,0.01
BD_WF_Gillespie,0.0185114531018032,0.00192440945596109,0.0129464067987693,0.0013882224470165,0.0152340709020733,0.000643615156514168,0.0501507519891851,0.00558580565504367,1.1,50,0.01
BD_WF_diffusion,0.0126899644922521,0.00143830532301646,0.00872764919335631,0.00103402916167681,0.0103506373108141,0.000572996591164426,0.0485993620476848,0.00483068156365225,1.1,50,0.01
PF,0.0178801030773452,0.0019744393559937,0.0124038498620339,0.0015261609663985,0.0122193132974137,0.000850134162168671,0.0491115731022599,0.00482420634100229,1.1,50,0.01
Pruning (PD),0.00549532604041201,0.00069313970314472,0.00377961193891205,0.000471337925642744,0.00225110817518984,0.000294720400132161,0.0472452395822625,0.00433627058848399,1.1,50,0.01
Exact,0,0,0,0,0,0,0.0479885499758424,0.00423676633430916,1.1,50,0.01
PD_Gillespie,0.00204091572805165,0.000187018013278405,0.00149791183969057,0.000143084552839629,0.000444864899258172,3.11085268934948E-05,0.0611068790310266,0.00499840415515516,1.1,50,0.5
PD_integrated,0.00199103437058444,0.000168766255161509,0.00148583911793265,0.000144096081048371,0.000454455987655844,3.16942082568518E-05,0.0609504380940232,0.0049229077050455,1.1,50,0.5
BD_Moran_Gillespie,0.013529099812614,0.00126365104488158,0.00966333211362649,0.0010476797258034,0.00718907803825483,0.000596463696766401,0.0643195019201891,0.00481398533111699,1.1,50,0.5
BD_WF_Gillespie,0.0135418628782137,0.00112066528569014,0.00972170285195913,0.000900244484093957,0.00734961201694773,0.000623556629920806,0.0634600837722518,0.00490109937522601,1.1,50,0.5
BD_WF_diffusion,0.0139875779139775,0.00121221147103669,0.0100708485441107,0.000972055659732008,0.00729623359442605,0.000527510081604499,0.0642401206044056,0.00475640592074001,1.1,50,0.5
PF,0.0180872160697602,0.00161287859205466,0.0130509339793988,0.001223468945287,0.0107140974759336,0.000757044281431207,0.0653347698225881,0.00472625524983352,1.1,50,0.5
Pruning (PD),0.000516517394986374,5.16286241606446E-05,0.000383041202569445,3.96535341208691E-05,8.72535819600247E-05,8.57656916291431E-06,0.060897959959002,0.00495969958724089,1.1,50,0.5
Exact,0,0,0,0,0,0,0.0608955555306644,0.00497354125941391,1.1,50,0.5
PD_Gillespie,0.0124943828838686,0.00123178014980449,0.00854448500617228,0.000871470803404811,0.0110889698601929,0.000362704927364538,0.0478185942078814,0.00443888794368536,1.1,100,0.01
PD_integrated,0.00579631086733089,0.000492056859903223,0.00397866354197049,0.000355884162042482,0.00264381569224742,0.000194773360344676,0.0475163905478006,0.00419731404225279,1.1,100,0.01
BD_Moran_Gillespie,0.0131070731431226,0.0014570780930455,0.00905524668112325,0.00106065160900406,0.0112063528968275,0.000530603708074651,0.0486580613812315,0.00441497783950844,1.1,100,0.01
BD_WF_Gillespie,0.0187714733189688,0.00171140741712941,0.0128290435345891,0.00119802849742992,0.0146468550264867,0.000618697033223625,0.050251980201322,0.00487569103481772,1.1,100,0.01
BD_WF_diffusion,0.0117394947950074,0.00123983020977307,0.00800823250969543,0.000877201832646425,0.00974323076027168,0.000637452234463651,0.0475390795257995,0.00468430154128537,1.1,100,0.01
PF,0.0152250331569928,0.00148687698420412,0.0105184257820517,0.00111108593552393,0.0106204154867591,0.00076528351244046,0.0481043156519843,0.00454939118035796,1.1,100,0.01
Pruning (PD),0.00568398937956091,0.000597010232637955,0.00384525833605606,0.000414674336936572,0.00230504311430476,0.000282023459938471,0.0479704897557744,0.00445095740135035,1.1,100,0.01
Exact,0,0,0,0,0,0,0.0488278451656933,0.00396828807633218,1.1,100,0.01
PD_Gillespie,0.00140311044466808,0.000137263252287937,0.00104434443070087,0.000103277145924582,0.000315520676960752,2.36292476829003E-05,0.060202423840612,0.00349344005190767,1.1,100,0.5
PD_integrated,0.00143063460742919,0.000130099478607313,0.00105395712258191,0.000104489979367796,0.000316060124272188,2.32561837724656E-05,0.0601369562048015,0.00348023055253759,1.1,100,0.5
BD_Moran_Gillespie,0.00923451336331644,0.00077510153198032,0.0066525071574661,0.000631316163371086,0.00493005395975262,0.000369930893538129,0.0607365810734253,0.00370352727226649,1.1,100,0.5
BD_WF_Gillespie,0.00941423151817175,0.000727419750916024,0.00678608611265937,0.00059834177549234,0.00503427468078875,0.000393060044659411,0.0611521517203859,0.00339712159478513,1.1,100,0.5
BD_WF_diffusion,0.0095382404879969,0.000786839076084466,0.00678800254562431,0.000597752745625791,0.00500227288220438,0.000358805930970548,0.0617165168822521,0.00366063564475664,1.1,100,0.5
PF,0.0123359611599833,0.00105532554168735,0.00887372193640309,0.000920588554231368,0.00710970983109155,0.000451887200431811,0.0605583190259535,0.0039690481384286,1.1,100,0.5
Pruning (PD),0.000542522756669208,5.94161644428225E-05,0.000402059528815573,4.40058337399304E-05,8.48992914253279E-05,8.63094207822965E-06,0.0600772428067938,0.00353860607404665,1.1,100,0.5
Exact,0,0,0,0,0,0,0.0600877211613428,0.00353633257346099,1.1,100,0.5
PD_Gillespie,0.0119053805011374,0.000945566826659126,0.0083885074623867,0.000665379613538124,0.0110341434641025,0.000292165162654919,0.0460199852673163,0.00374082091287857,1.1,500,0.01
PD_integrated,0.00549135891512663,0.000465024607757909,0.0037338102537544,0.000366105896346804,0.00258104771719505,0.000126352465294406,0.0474975769571885,0.00397116432149553,1.1,500,0.01
BD_Moran_Gillespie,0.0122036008172286,0.00108080461706433,0.00847836236522351,0.000709380558940472,0.0110086091049522,0.000339057838060827,0.0461745177936835,0.00368624223530901,1.1,500,0.01
BD_WF_Gillespie,0.017623487010784,0.00153013763200237,0.012138544379614,0.00102227780703169,0.0141698982730038,0.000462753583928285,0.04803042452445,0.00439802058818357,1.1,500,0.01
BD_WF_diffusion,0.011009779588043,0.000857840860883955,0.00763184857322237,0.000564155165836593,0.00953283166328839,0.000345912812802872,0.0461335457041986,0.00376895063435719,1.1,500,0.01
PF,0.0115878134797219,0.00101312561647908,0.00812822663034143,0.000741882413179847,0.00915131224456053,0.000487888893686728,0.0460393816048912,0.00389141214016751,1.1,500,0.01
Pruning (PD),0.00599301490433809,0.000668532813623735,0.00409456094309279,0.000473360653296463,0.00222558135763647,0.000280401419045386,0.047788507690039,0.00413908007435878,1.1,500,0.01
Exact,0,0,0,0,0,0,0.0477888377209181,0.00395316644564642,1.1,500,0.01
PD_Gillespie,0.000638673979319051,6.10066894519066E-05,0.000477034938400253,4.67308979142371E-05,0.000139921068712604,1.00565404322727E-05,0.0595761575952336,0.00447565921996061,1.1,500,0.5
PD_integrated,0.000625339969319817,5.78227520071915E-05,0.000463248395492422,4.52347366648726E-05,0.00013957566176052,9.2711184240561E-06,0.0595840922957268,0.00454552052227661,1.1,500,0.5
BD_Moran_Gillespie,0.00409796578374583,0.00030519623698074,0.00300172512749056,0.000258286827160293,0.00220293871852524,0.00014322373054219,0.0602059288748321,0.00450844124367,1.1,500,0.5
BD_WF_Gillespie,0.00420026615809095,0.000333688180270769,0.00297650783490188,0.000267406229165735,0.00219545711180387,0.000187700039365041,0.0599346465190492,0.00458634274694151,1.1,500,0.5
BD_WF_diffusion,0.00452165303983724,0.000394150121706483,0.00320193573636345,0.000319157834969888,0.00218259848888119,0.000153568319830755,0.0602068438337342,0.00428315380984059,1.1,500,0.5
PF,0.00542540354611497,0.000473059914150579,0.00390637337142366,0.000347157077818118,0.00310535673356352,0.000210111398442315,0.060806707670945,0.00482355367082754,1.1,500,0.5
Pruning (PD),0.00053274947268593,5.87033606971949E-05,0.000394016338218146,4.44689013778645E-05,8.74250786734166E-05,8.10901029166385E-06,0.0596237677472376,0.00451581369425799,1.1,500,0.5
Exact,0,0,0,0,0,0,0.059597721149011,0.0045072083729177,1.1,500,0.5
